TheLulzSaints,poLicedoX,https://twitter.com/poLicedoX,N/A,6/6/16 16:39,TwitID Updater,User not found.,50
Team Carbonic,Carbonic,https://twitter.com/teamcarbonic,2789561441,6/6/16 16:39,TwitID Updater,Active,
NoMercySec,NoMercySec,https://twitter.com/NoMercySec,N/A,6/6/16 16:39,TwitID Updater,User not found.,50
Lizard Squad,IizardSquad_,https://twitter.com/IizardSquad_,N/A,6/6/16 16:39,TwitID Updater,User not found.,50
Vikingdom,vikingdomUS,https://twitter.com/vikingdomUS,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
Team Cyber Poison,TeamCyberPoison,https://twitter.com/TeamCyberVirgin,3091675839,6/6/16 16:40,TwitID Updater,Active,
anon99percenter,Animal Helper,https://twitter.com/cheetahsoul,16988154,6/6/16 16:40,TwitID Updater,Active,
anonyzeroday,anonyzeroday,https://twitter.com/anonyzeroday,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
Anon_Reaper_,Anon_Reaper_,https://twitter.com/Anon_Reaper_,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
ComediAnon,ComediAnon,https://twitter.com/ComediAnon,N/A,6/6/16 16:40,TwitID Updater,User has been suspended.,63
MarxistAttorney,MarxistAttorney,https://twitter.com/MarxistAttorney,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
gsadisruption,gsadisruption,https://twitter.com/gsadisruption,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
Raju Duggi,raju duggi,https://twitter.com/duggiraju01,752749376,6/6/16 16:40,TwitID Updater,Active,
d4rthiswatching,d4rthiswatching,https://twitter.com/d4rthiswatching,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
compl3x1ty,compl3x1ty,https://twitter.com/compl3x1ty,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
FuckVirt,the purple pickle,https://twitter.com/FuckVirt,194732619,6/6/16 16:40,TwitID Updater,Active,
l04_z,l04_z,https://twitter.com/l04_z,N/A,6/6/16 16:40,TwitID Updater,User has been suspended.,63
LulzSaints,lulzsaints,https://twitter.com/lulzsaints,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
LulzSec,LulzSec,https://twitter.com/LulzSecDrex,2375669120,6/6/16 16:40,TwitID Updater,Active,
LulzSec,LulzTangoDown,https://twitter.com/LulzTangoDown,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
Chrichir,Chrichir,https://twitter.com/Chrichir,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
Sanju Gautam,sanjugautam05,https://twitter.com/sanjugautam05,N/A,6/6/16 16:40,TwitID Updater,User not found.,50
InfamousSkid,Dobby Grassino,https://twitter.com/InfamousSkid,2511016736,6/6/16 16:40,TwitID Updater,Active,
H.A.C Team,H.A.C Team,https://twitter.com/_TeamHac_,2334411619,6/6/16 16:40,TwitID Updater,Active,
Siph0n,siph0n Database,https://twitter.com/datasiph0n,3028760147,6/6/16 16:40,TwitID Updater,Active,
Taylor,0x1Taylor,https://twitter.com/0x1Taylor,N/A,6/6/16 16:40,TwitID Updater,User has been suspended.,63
AnonyOps,Anonymous,https://twitter.com/anonyops,225235528,6/6/16 16:40,TwitID Updater,Active,
AnonymousGlobo,Anonymous,https://twitter.com/AnonymousGlobo,547975938,6/6/16 16:40,TwitID Updater,Active,
