cysec666,12/4/15,Chris Cooley,https://twitter.com/cysec666,1580696052,Low,TRUE,FALSE
DarkSecHackers,10/25/16,Chris Cooley,https://twitter.com/DarkSecHackers,767716841137512449,High,TRUE,FALSE
DeadBeatManage,4/22/16,Chris Cooley,https://twitter.com/DeadBeatManage,3002041818,Low,TRUE,FALSE
DerpLaughing,12/4/15,Chris Cooley,https://twitter.com/derplaughing,2344556072,Low,TRUE,FALSE
DigitaShadow,12/4/15,Chris Cooley,https://twitter.com/DigitaShadow,2677416219,Low,TRUE,FALSE
DotGovs,8/16/16,Chris Cooley,https://twitter.com/Dotgovz_,4899163516,Inactive Last 60+ Days,TRUE,FALSE
etrappin,9/22/16,Chris Cooley,https://twitter.com/etrappin,718544787956113408,High,TRUE,FALSE
ExFocus,8/15/16,Chris Cooley,https://twitter.com/ogexfocus,3123824895,Inactive Last 60+ Days,TRUE,FALSE
Exposing_ISIS,8/16/16,Chris Cooley,https://twitter.com/Exposing_Isis,3135081443,Inactive Last 60+ Days,TRUE,FALSE
Faedyyen,2/5/16,Chris Cooley,https://twitter.com/Faedyyen,2743092538,Low,TRUE,FALSE
FenrirJP,10/4/16,Chris Cooley,https://twitter.com/FENRIR_0430_N,703447194968326144,Low,TRUE,FALSE
FRDZ51,6/16/16,Chris Cooley,https://twitter.com/FRDZ51,2845173946,Low,TRUE,FALSE
FrightSec,1/4/16,Chris Cooley,https://twitter.com/frightsec,3332138577,Inactive Last 60+ Days,TRUE,FALSE
FuckVirt,8/16/16,Chris Cooley,https://twitter.com/FuckVirt,194732619,Low,TRUE,FALSE
Gh0sterSec,8/16/16,Chris Cooley,https://twitter.com/Gh0sterSec,2920019869,Inactive Last 60+ Days,TRUE,FALSE
Gh0stPoodle,8/24/16,Chris Cooley,https://twitter.com/Gh0stPoodle,760297527719653377,Low,TRUE,FALSE
Ghost Security Anonymous,8/15/16,Chris Cooley,https://twitter.com/ghostxsecurity,2899780568,Inactive Last 60+ Days,TRUE,FALSE
Ghost Squad Hackers,8/11/16,Chris Cooley,https://twitter.com/GhostSquadHack,4848715275,Low,TRUE,FALSE
Ghostly,8/16/16,Chris Cooley,https://twitter.com/gov80,4788747081,Inactive Last 60+ Days,TRUE,FALSE
Ghostly,8/16/16,Chris Cooley,https://twitter.com/Ghostly_,734929501499461632,Low,TRUE,FALSE
GhostSecGroup,11/18/15,Chris Cooley,https://twitter.com/GhostSecGroup,3862356920,Low,TRUE,FALSE
GSA Criminak,12/4/15,Chris Cooley,https://twitter.com/gsaamcf,1579407554,Low,TRUE,FALSE
H3L105,8/16/16,Chris Cooley,https://twitter.com/h3_ii,728820330647552000,Low,TRUE,FALSE
HackDefendr,12/4/15,Chris Cooley,https://twitter.com/HackDefendr,176407708,Low,TRUE,FALSE
Hacked_Emails,8/16/16,Chris Cooley,https://twitter.com/hacked_emails,3665616815,Low,TRUE,FALSE
Hacking Dictator,8/16/16,Chris Cooley,https://twitter.com/HACKINGDICTATOR,2203909696,Inactive Last 60+ Days,TRUE,FALSE
hamidd1a,12/4/15,Chris Cooley,https://twitter.com/hamidd1a,3036385974,Low,TRUE,FALSE
HELPER,8/17/16,Chris Cooley,https://twitter.com/H37P3R,761857787731255296,Medium,TRUE,FALSE
